name,target
tool_0213.wav,tool
door_0009_time_stretch_4.wav,door
d_0008_time_stretch_5.wav,door
t_knocking_door_0071_time_stretch_1.wav,knocking_door
bg_0165_time_stretch_0.wav,bags
tool_0369.wav,tool
background_0071_time_stretch_11.wav,background
k_0097.wav,keyboard
tool_1201.wav,tool
tt_kd_0005_time_stretch_3.wav,knocking_door
ring_0073.wav,ring
bg_0154_time_stretch_3.wav,bags
bags_0033_time_stretch_0.wav,bags
knocking_door_0025.wav,knocking_door
d_0099_time_stretch_3.wav,door
tool_0406.wav,tool
background_0014_time_stretch_4.wav,background
t_knocking_door_0004_time_stretch_5.wav,knocking_door
t_bags_0056_time_stretch_1.wav,bags
tt_kd_0017_time_stretch_11.wav,knocking_door
d_0061.wav,door
d_0105_time_stretch_4.wav,door
t_knocking_door_0020_time_stretch_10.wav,knocking_door
bg_0029.wav,bags
d_0107_time_stretch_5.wav,door
keyboard_0036_time_stretch_1.wav,keyboard
t_bags_0050.wav,bags
tool_0635.wav,tool
ring_0335.wav,ring
background_0061_time_stretch_11.wav,background
door_0068_time_stretch_4.wav,door
knocking_door_0005_time_stretch_11.wav,knocking_door
speech_0034_slice_4.wav,speech
d_0014_time_stretch_6.wav,door
door_0061_time_stretch_7.wav,door
d_0074_time_stretch_8.wav,door
bags_0023_time_stretch_3.wav,bags
d_0088_time_stretch_3.wav,door
background_0049_time_stretch_5.wav,background
t_door_0022_time_stretch_0.wav,door
d_0062_time_stretch_13.wav,door
t_knocking_door_0023_time_stretch_11.wav,knocking_door
door_0052_time_stretch_6.wav,door
k_0076_time_stretch_0.wav,keyboard
ring_0303.wav,ring
bg_0045_time_stretch_3.wav,bags
d_0062_time_stretch_0.wav,door
k_0119_time_stretch_2.wav,keyboard
t_bags_0020.wav,bags
d_0061_time_stretch_2.wav,door
bg_0192_time_stretch_1.wav,bags
t_knocking_door_0003_time_stretch_1.wav,knocking_door
d_0036_time_stretch_6.wav,door
d_0093_time_stretch_0.wav,door
background_0073_time_stretch_6.wav,background
door_0066_time_stretch_5.wav,door
ring_0184.wav,ring
tool_1328.wav,tool
t_knocking_door_0023_time_stretch_3.wav,knocking_door
door_0026_time_stretch_1.wav,door
door_0066_time_stretch_10.wav,door
knocking_door_0030_time_stretch_8.wav,knocking_door
d_0048_time_stretch_9.wav,door
t_keyboard_0048_time_stretch_3.wav,keyboard
background_0064_time_stretch_1.wav,background
ring_0569.wav,ring
t_bags_0075_time_stretch_1.wav,bags
tt_kd_0001.wav,knocking_door
knocking_door_0037_time_stretch_7.wav,knocking_door
tool_0417.wav,tool
k_0042.wav,keyboard
bg_0147.wav,bags
t_door_0088.wav,door
ring_0352.wav,ring
background_0044_time_stretch_3.wav,background
door_0046_time_stretch_4.wav,door
k_0080_time_stretch_2.wav,keyboard
ring_0229.wav,ring
door_0030_time_stretch_10.wav,door
tool_1233.wav,tool
t_knocking_door_0089_time_stretch_3.wav,knocking_door
tt_kd_0006_time_stretch_6.wav,knocking_door
door_0055_time_stretch_9.wav,door
tool_0755.wav,tool
door_0005_time_stretch_5.wav,door
k_0062_time_stretch_1.wav,keyboard
bg_0165.wav,bags
t_bags_0083_time_stretch_0.wav,bags
background_0005_time_stretch_12.wav,background
